Iter 23 | Total: 33.9398 | LL: -25.7115 | CE: 8.2283
Iter 24 | Total: 33.5736 | LL: -25.3980 | CE: 8.1755
Iter 25 | Total: 33.2315 | LL: -25.1065 | CE: 8.1251
Iter 26 | Total: 32.9114 | LL: -24.8345 | CE: 8.0769
Iter 27 | Total: 32.6113 | LL: -24.5802 | CE: 8.0311
Iter 28 | Total: 32.3296 | LL: -24.3421 | CE: 7.9875
Iter 29 | Total: 32.0650 | LL: -24.1188 | CE: 7.9462
Iter 0 | Total: 120.9319 | LL: -110.9764 | CE: 9.9554
Iter 1 | Total: 78.1835 | LL: -68.2979 | CE: 9.8856
Iter 2 | Total: 59.1008 | LL: -49.3321 | CE: 9.7687
Iter 3 | Total: 50.0699 | LL: -40.4242 | CE: 9.6457
Iter 4 | Total: 45.4484 | LL: -35.9120 | CE: 9.5364
Iter 5 | Total: 42.7777 | LL: -33.3340 | CE: 9.4437
Iter 6 | Total: 40.9966 | LL: -31.6342 | CE: 9.3623
Iter 7 | Total: 39.6412 | LL: -30.3538 | CE: 9.2874
Iter 8 | Total: 38.5007 | LL: -29.2850 | CE: 9.2156
Iter 9 | Total: 37.4779 | LL: -28.3318 | CE: 9.1461
Iter 10 | Total: 36.5363 | LL: -27.4575 | CE: 9.0788
Iter 11 | Total: 35.6693 | LL: -26.6549 | CE: 9.0145
Iter 12 | Total: 34.8756 | LL: -25.9214 | CE: 8.9541
Iter 13 | Total: 34.1508 | LL: -25.2520 | CE: 8.8988
Iter 14 | Total: 33.4919 | LL: -24.6424 | CE: 8.8495
Iter 15 | Total: 32.8973 | LL: -24.0905 | CE: 8.8069
Iter 16 | Total: 32.3646 | LL: -23.5930 | CE: 8.7716
Iter 17 | Total: 31.8895 | LL: -23.1454 | CE: 8.7441
Iter 18 | Total: 31.4677 | LL: -22.7429 | CE: 8.7248
Iter 19 | Total: 31.0943 | LL: -22.3807 | CE: 8.7136
Iter 20 | Total: 30.7651 | LL: -22.0543 | CE: 8.7108
Iter 21 | Total: 30.4759 | LL: -21.7596 | CE: 8.7163
Iter 22 | Total: 30.2228 | LL: -21.4928 | CE: 8.7300
Iter 23 | Total: 30.0026 | LL: -21.2505 | CE: 8.7520
Iter 24 | Total: 29.8122 | LL: -21.0301 | CE: 8.7822
Iter 25 | Total: 29.6492 | LL: -20.8288 | CE: 8.8204
Iter 26 | Total: 29.5113 | LL: -20.6447 | CE: 8.8666
Iter 27 | Total: 29.3966 | LL: -20.4759 | CE: 8.9207
Iter 28 | Total: 29.3035 | LL: -20.3209 | CE: 8.9826
Iter 29 | Total: 29.2305 | LL: -20.1781 | CE: 9.0524
Iter 0 | Total: 667.9330 | LL: -658.4306 | CE: 9.5023
Iter 1 | Total: 350.5651 | LL: -341.1302 | CE: 9.4349
Iter 2 | Total: 215.4219 | LL: -206.0837 | CE: 9.3382
Iter 3 | Total: 151.9243 | LL: -142.6911 | CE: 9.2331
Iter 4 | Total: 119.5544 | LL: -110.4265 | CE: 9.1279
Iter 5 | Total: 101.7048 | LL: -92.6748 | CE: 9.0300
Iter 6 | Total: 90.9586 | LL: -82.0174 | CE: 8.9412
Iter 7 | Total: 83.8595 | LL: -74.9996 | CE: 8.8599
Iter 8 | Total: 78.7441 | LL: -69.9607 | CE: 8.7833
Iter 9 | Total: 74.7853 | LL: -66.0758 | CE: 8.7095
Iter 10 | Total: 71.5553 | LL: -62.9183 | CE: 8.6370
Iter 11 | Total: 68.8217 | LL: -60.2564 | CE: 8.5654
Iter 12 | Total: 66.4505 | LL: -57.9562 | CE: 8.4943
Iter 13 | Total: 64.3593 | LL: -55.9352 | CE: 8.4241
Iter 14 | Total: 62.4943 | LL: -54.1394 | CE: 8.3548
Iter 15 | Total: 60.8187 | LL: -52.5320 | CE: 8.2867
Iter 16 | Total: 59.3062 | LL: -51.0864 | CE: 8.2198
Iter 17 | Total: 57.9363 | LL: -49.7821 | CE: 8.1542
Iter 18 | Total: 56.6919 | LL: -48.6021 | CE: 8.0898
Iter 19 | Total: 55.5576 | LL: -47.5311 | CE: 8.0266
Iter 20 | Total: 54.5199 | LL: -46.5556 | CE: 7.9643
Iter 21 | Total: 53.5666 | LL: -45.6636 | CE: 7.9030
Iter 22 | Total: 52.6872 | LL: -44.8447 | CE: 7.8425
Iter 23 | Total: 51.8727 | LL: -44.0900 | CE: 7.7827
Iter 24 | Total: 51.1155 | LL: -43.3921 | CE: 7.7234
Iter 25 | Total: 50.4091 | LL: -42.7444 | CE: 7.6647
Iter 26 | Total: 49.7479 | LL: -42.1414 | CE: 7.6065
Iter 27 | Total: 49.1272 | LL: -41.5786 | CE: 7.5486
Iter 28 | Total: 48.5429 | LL: -41.0518 | CE: 7.4911
Iter 29 | Total: 47.9914 | LL: -40.5574 | CE: 7.4340
Iter 0 | Total: 7310.7712 | LL: -7301.3142 | CE: 9.4570
Iter 1 | Total: 4229.3437 | LL: -4220.0262 | CE: 9.3174
Iter 2 | Total: 2661.2185 | LL: -2652.1140 | CE: 9.1045
Iter 3 | Total: 1826.7718 | LL: -1817.8737 | CE: 8.8981
Iter 4 | Total: 1339.7632 | LL: -1331.0600 | CE: 8.7032
Iter 5 | Total: 1034.3200 | LL: -1025.7995 | CE: 8.5204
Iter 6 | Total: 830.8871 | LL: -822.5357 | CE: 8.3514
Iter 7 | Total: 688.3984 | LL: -680.2024 | CE: 8.1959
Iter 8 | Total: 584.6053 | LL: -576.5520 | CE: 8.0533
Iter 9 | Total: 506.6894 | LL: -498.7669 | CE: 7.9225
Iter 10 | Total: 446.7622 | LL: -438.9593 | CE: 7.8028
Iter 11 | Total: 399.6943 | LL: -392.0012 | CE: 7.6931
Iter 12 | Total: 362.0171 | LL: -354.4249 | CE: 7.5922
Iter 13 | Total: 331.3199 | LL: -323.8210 | CE: 7.4990
Iter 14 | Total: 305.8947 | LL: -298.4825 | CE: 7.4122
Iter 15 | Total: 284.5128 | LL: -277.1819 | CE: 7.3309
Iter 16 | Total: 266.2800 | LL: -259.0258 | CE: 7.2541
Iter 17 | Total: 250.5393 | LL: -243.3580 | CE: 7.1812
Iter 18 | Total: 236.8040 | LL: -229.6925 | CE: 7.1115
Iter 19 | Total: 224.7110 | LL: -217.6665 | CE: 7.0444
Iter 20 | Total: 213.9867 | LL: -207.0069 | CE: 6.9798
Iter 21 | Total: 204.4229 | LL: -197.5057 | CE: 6.9173
Iter 22 | Total: 195.8588 | LL: -189.0021 | CE: 6.8568
Iter 23 | Total: 188.1676 | LL: -181.3693 | CE: 6.7982
Iter 24 | Total: 181.2471 | LL: -174.5054 | CE: 6.7416
Iter 25 | Total: 175.0128 | LL: -168.3258 | CE: 6.6870
Iter 26 | Total: 169.3932 | LL: -162.7588 | CE: 6.6344
Iter 27 | Total: 164.3262 | LL: -157.7424 | CE: 6.5839
Iter 28 | Total: 159.7570 | LL: -153.2215 | CE: 6.5355
Iter 29 | Total: 155.6361 | LL: -149.1470 | CE: 6.4891
Iter 0 | Total: 114.0873 | LL: -104.2359 | CE: 9.8514
Iter 1 | Total: 73.0243 | LL: -63.2312 | CE: 9.7931
Iter 2 | Total: 55.5884 | LL: -45.8869 | CE: 9.7015
Iter 3 | Total: 47.5372 | LL: -37.9305 | CE: 9.6067
Iter 4 | Total: 43.4402 | LL: -33.9239 | CE: 9.5164
Iter 5 | Total: 41.1088 | LL: -31.6729 | CE: 9.4359
Iter 6 | Total: 39.5964 | LL: -30.2300 | CE: 9.3663
Iter 7 | Total: 38.4740 | LL: -29.1679 | CE: 9.3061
Iter 8 | Total: 37.5418 | LL: -28.2889 | CE: 9.2529
Iter 9 | Total: 36.7058 | LL: -27.5007 | CE: 9.2051
Iter 10 | Total: 35.9253 | LL: -26.7635 | CE: 9.1617
Iter 11 | Total: 35.1904 | LL: -26.0678 | CE: 9.1225
Iter 12 | Total: 34.5055 | LL: -25.4179 | CE: 9.0876
Iter 13 | Total: 33.8771 | LL: -24.8197 | CE: 9.0574
Iter 14 | Total: 33.3076 | LL: -24.2751 | CE: 9.0325
Iter 15 | Total: 32.7949 | LL: -23.7815 | CE: 9.0134
Iter 16 | Total: 32.3351 | LL: -23.3347 | CE: 9.0005
Iter 17 | Total: 31.9237 | LL: -22.9296 | CE: 8.9941
Iter 18 | Total: 31.5565 | LL: -22.5619 | CE: 8.9946
Iter 19 | Total: 31.2300 | LL: -22.2278 | CE: 9.0022
Iter 20 | Total: 30.9409 | LL: -21.9240 | CE: 9.0169
Iter 21 | Total: 30.6864 | LL: -21.6475 | CE: 9.0388
Iter 22 | Total: 30.4639 | LL: -21.3959 | CE: 9.0680
Iter 23 | Total: 30.2709 | LL: -21.1666 | CE: 9.1043
Iter 24 | Total: 30.1051 | LL: -20.9573 | CE: 9.1478
Iter 25 | Total: 29.9644 | LL: -20.7660 | CE: 9.1984
Iter 26 | Total: 29.8469 | LL: -20.5907 | CE: 9.2562
Iter 27 | Total: 29.7508 | LL: -20.4298 | CE: 9.3210
Iter 28 | Total: 29.6747 | LL: -20.2818 | CE: 9.3929
Iter 29 | Total: 29.6172 | LL: -20.1454 | CE: 9.4718
Iter 0 | Total: 462.0466 | LL: -452.4850 | CE: 9.5616
Iter 1 | Total: 252.0957 | LL: -242.5870 | CE: 9.5088
Iter 2 | Total: 157.1837 | LL: -147.7778 | CE: 9.4059
Iter 3 | Total: 112.1283 | LL: -102.8446 | CE: 9.2836
Iter 4 | Total: 89.4014 | LL: -80.2324 | CE: 9.1690
Iter 5 | Total: 76.9227 | LL: -67.8558 | CE: 9.0669
Iter 6 | Total: 69.4178 | LL: -60.4424 | CE: 8.9755
Iter 7 | Total: 64.4959 | LL: -55.6036 | CE: 8.8923
Iter 8 | Total: 61.0076 | LL: -52.1921 | CE: 8.8155
Iter 9 | Total: 58.3656 | LL: -49.6220 | CE: 8.7437
Iter 10 | Total: 56.2522 | LL: -47.5766 | CE: 8.6756
Iter 11 | Total: 54.4857 | LL: -45.8755 | CE: 8.6103
Iter 12 | Total: 52.9577 | LL: -44.4106 | CE: 8.5471
Iter 13 | Total: 51.6012 | LL: -43.1156 | CE: 8.4856
Iter 14 | Total: 50.3754 | LL: -41.9499 | CE: 8.4255
Iter 15 | Total: 49.2570 | LL: -40.8904 | CE: 8.3666
Iter 16 | Total: 48.2352 | LL: -39.9266 | CE: 8.3087
Iter 17 | Total: 47.3046 | LL: -39.0530 | CE: 8.2516
Iter 18 | Total: 46.4577 | LL: -38.2624 | CE: 8.1953
Iter 19 | Total: 45.6844 | LL: -37.5449 | CE: 8.1395
Iter 20 | Total: 44.9740 | LL: -36.8898 | CE: 8.0842
Iter 21 | Total: 44.3173 | LL: -36.2883 | CE: 8.0291
Iter 22 | Total: 43.7066 | LL: -35.7325 | CE: 7.9741
Iter 23 | Total: 43.1354 | LL: -35.2164 | CE: 7.9190
Iter 24 | Total: 42.5984 | LL: -34.7347 | CE: 7.8637
Iter 25 | Total: 42.0915 | LL: -34.2833 | CE: 7.8082
Iter 26 | Total: 41.6112 | LL: -33.8589 | CE: 7.7523
Iter 27 | Total: 41.1547 | LL: -33.4586 | CE: 7.6961
Iter 28 | Total: 40.7195 | LL: -33.0801 | CE: 7.6394
Iter 29 | Total: 40.3037 | LL: -32.7214 | CE: 7.5823
Iter 0 | Total: 100.4450 | LL: -90.7544 | CE: 9.6906
Iter 1 | Total: 65.4574 | LL: -55.8230 | CE: 9.6344
Iter 2 | Total: 50.9597 | LL: -41.4080 | CE: 9.5517
Iter 3 | Total: 44.4019 | LL: -34.9310 | CE: 9.4709
Iter 4 | Total: 41.0741 | LL: -31.6805 | CE: 9.3936
Iter 5 | Total: 39.1639 | LL: -29.8409 | CE: 9.3230
