Iter 27 | Total: 30.7362 | LL: -26.8865 | CE: 3.8497
Iter 28 | Total: 30.5026 | LL: -26.7436 | CE: 3.7590
Iter 29 | Total: 30.3035 | LL: -26.6217 | CE: 3.6818
Iter 0 | Total: 59.1138 | LL: -49.9462 | CE: 9.1676
Iter 1 | Total: 49.6921 | LL: -40.6947 | CE: 8.9973
Iter 2 | Total: 44.0250 | LL: -35.3442 | CE: 8.6808
Iter 3 | Total: 40.7127 | LL: -32.3209 | CE: 8.3918
Iter 4 | Total: 38.6062 | LL: -30.4473 | CE: 8.1589
Iter 5 | Total: 37.0946 | LL: -29.1368 | CE: 7.9578
Iter 6 | Total: 35.9090 | LL: -28.1410 | CE: 7.7679
Iter 7 | Total: 34.9345 | LL: -27.3514 | CE: 7.5830
Iter 8 | Total: 34.1154 | LL: -26.7103 | CE: 7.4051
Iter 9 | Total: 33.4173 | LL: -26.1799 | CE: 7.2374
Iter 10 | Total: 32.8155 | LL: -25.7334 | CE: 7.0821
Iter 11 | Total: 32.2925 | LL: -25.3521 | CE: 6.9404
Iter 12 | Total: 31.8365 | LL: -25.0240 | CE: 6.8124
Iter 13 | Total: 31.4394 | LL: -24.7406 | CE: 6.6988
Iter 14 | Total: 31.0949 | LL: -24.4949 | CE: 6.6000
Iter 15 | Total: 30.7977 | LL: -24.2811 | CE: 6.5167
Iter 16 | Total: 30.5436 | LL: -24.0943 | CE: 6.4493
Iter 17 | Total: 30.3289 | LL: -23.9308 | CE: 6.3981
Iter 18 | Total: 30.1506 | LL: -23.7876 | CE: 6.3631
Iter 19 | Total: 30.0058 | LL: -23.6617 | CE: 6.3442
Iter 20 | Total: 29.8918 | LL: -23.5506 | CE: 6.3411
Iter 21 | Total: 29.8061 | LL: -23.4523 | CE: 6.3538
Iter 22 | Total: 29.7469 | LL: -23.3649 | CE: 6.3820
Iter 23 | Total: 29.7127 | LL: -23.2868 | CE: 6.4258
Iter 24 | Total: 29.7023 | LL: -23.2170 | CE: 6.4853
Iter 25 | Total: 29.7152 | LL: -23.1544 | CE: 6.5608
Iter 26 | Total: 29.7511 | LL: -23.0982 | CE: 6.6529
Iter 27 | Total: 29.8098 | LL: -23.0476 | CE: 6.7621
Iter 28 | Total: 29.8914 | LL: -23.0022 | CE: 6.8892
